名称,功效
制天南星,燥湿化痰，祛风止痉，散结消肿。用于顽痰咳嗽，风痰眩晕，中风痰壅，口眼喎斜，半身不遂，癫痫，惊风，破伤风；外用治痈肿，蛇虫咬伤。
天然冰片,开窍醒神，清热止痛。用于热病神昏、惊厥，中风痰厥，气郁暴厥，中恶昏迷，胸痹心痛，目赤，口疮，咽喉肿痛，耳道流脓。
焦槟榔,消食导滞。用于食积不消，泻痢后重。
高山辣根菜,清热解毒，清肺止咳，止血，消肿。用于温病发热，肺热咳嗽，咯血，创伤出血，四肢浮肿。
臭灵丹草,清热解毒，止咳祛痰。用于风热感冒，咽喉肿痛，肺热咳嗽。
铁皮石斛,益胃生津，滋阴清热。用于热病津伤，口干烦渴，胃阴不足，食少干呕，病后虚热不退，阴虚火旺，骨蒸劳热，目暗不明，筋骨痿软。
大枣,补中益气，养血安神。用于脾虚食少，乏力便溏，妇人脏躁。
厚朴,燥湿消痰，下气除满。用于湿滞伤中，脘痞吐泻，食积气滞，腹胀便秘，痰饮喘咳。
胡黄连,退虚热，除疳热，清湿热。用于骨蒸潮热，小儿疳热，湿热泻痢，黄疸尿赤，痔疮肿痛。
亚麻子,润燥通便，养血祛风。用于肠燥便秘，皮肤干燥，瘙痒，脱发。
虎杖,利湿退黄，清热解毒，散瘀止痛，止咳化痰。用于湿热黄疸，淋浊，带下，风湿痹痛，痈肿疮毒，水火烫伤，经闭，癥瘕，跌打损伤，肺热咳嗽。
桃枝,活血通络，解毒杀虫。用于心腹刺痛，风湿痹痛，跌打损伤，疮癖。
云芝,健脾利湿，清热解毒。用于湿热黄疸，胁痛，纳差，倦怠乏力。
滑石,利尿通淋，清热解暑；外用祛湿敛疮。用于热淋，石淋，尿热涩痛，暑湿烦渴，湿热水泻；外治湿疹，湿疮，痱子。
大蓟炭,凉血止血。用于衄血，吐血，尿血，便血，崩漏，外伤出血。
牛膝,逐瘀通经，补肝肾，强筋骨，利尿通淋，引血下行。用于经闭，痛经，腰膝酸痛，筋骨无力，淋证，水肿，头痛，眩晕，牙痛，口疮，吐血，衄血。
木瓜,舒筋活络，和胃化湿。用于湿痹拘挛，腰膝关节酸重疼痛，暑湿吐泻，转筋挛痛，脚气水肿。
槐花,凉血止血，清肝泻火。用于便血，痔血，血痢，崩漏，吐血，衄血，肝热目赤，头痛眩晕。
槐角,清热泻火，凉血止血。用于肠热便血，痔肿出血，肝热头痛，眩晕目赤。
大叶紫珠,散瘀止血，消肿止痛。用于衄血，咯血，吐血，便血，外伤出血，跌扑肿痛。
余甘子,清热凉血，消食健胃，生津止咳。用于血热血瘀，消化不良，腹胀，咳嗽，喉痛，口干。
黄柏,清热燥湿，泻火除蒸，解毒疗疮。用于湿热泻痢，黄疸尿赤，带下阴痒，热淋涩痛，脚气痿躄，骨蒸劳热，盗汗，遗精，疮疡肿毒，湿疹湿疮。盐黄柏滋阴降火。用于阴虚火旺，盗汗骨蒸。
芥子,温肺豁痰利气，散结通络止痛。用于寒痰咳嗽，胸胁胀痛，痰滞经络，关节麻木、疼痛，痰湿流注，阴疽肿毒。
黄精,补气养阴，健脾，润肺，益肾。用于脾胃气虚，体倦乏力，胃阴不足，口干食少，肺虚燥咳，劳嗽咳血，精血不足，腰膝酸软，须发早白，内热消渴。
蜂蜡,解毒，敛疮，生肌，止痛。外用于溃疡不敛，臁疮糜烂，外伤破溃，烧烫伤。
黄连,清热燥湿，泻火解毒。用于湿热痞满，呕吐吞酸，泻痢，黄疸，高热神昏，心火亢盛，心烦不寐，心悸不宁，血热吐衄，目赤，牙痛，消渴，痈肿疔疮；外治湿疹，湿疮，耳道流脓。酒黄连善清上焦火热。用于目赤，口疮。姜黄连清胃和胃止呕。用于寒热互结，湿热中阻，痞满呕吐。萸黄连舒肝和胃止呕。用于肝胃不和，呕吐吞酸。
黄芪,补气升阳，固表止汗，利水消肿，生津养血，行滞通痹，托毒排脓，敛疮生肌。用于气虚乏力，食少便溏，中气下陷，久泻脱肛，便血崩漏，表虚自汗，气虚水肿，内热消渴，血虚萎黄，半身不遂，痹痛麻木，痈疽难溃，久溃不敛。
黄芩,清热燥湿，泻火解毒，止血，安胎。用于湿温、暑湿，胸闷呕恶，湿热痞满，泻痢，黄疸，肺热咳嗽，高热烦渴，血热吐衄，痈肿疮毒，胎动不安。
火麻仁,润肠通便。用于血虚津亏，肠燥便秘。
鸡骨草,利湿退黄，清热解毒，疏肝止痛。用于湿热黄疸，胁肋不舒，胃脘胀痛，乳痈肿痛。
鸡冠花,收敛止血，止带，止痢。用于吐血，崩漏，便血，痔血，赤白带下，久痢不止。
鸡内金,健胃消食，涩精止遗，通淋化石。用于食积不消，呕吐泻痢，小儿疳积，遗尿，遗精，石淋涩痛，胆胀胁痛。
鸡血藤,活血补血，调经止痛，舒筋活络。用于月经不调，痛经，经闭，风湿痹痛，麻木瘫痪，血虚萎黄。
积雪草,清热利湿，解毒消肿。用于湿热黄疸，中暑腹泻，石淋血淋，痈肿疮毒，跌扑损伤。
急性子,破血，软坚，消积。用于癥瘕痞块，经闭，噎膈。
蜂胶,补虚弱，化浊脂，止消渴；外用解毒消肿，收敛生肌。用于体虚早衰，高脂血症，消渴；外治皮肤皲裂，烧烫伤。
木棉花,清热利湿，解毒。用于泄泻，痢疾，痔疮出血。
姜黄,破血行气，通经止痛。用于胸胁刺痛，胸搏心痛，痛经经闭，癥瘕，风湿肩臂疼痛，跌扑肿痛。
三白草,利尿消肿，清热解毒。用于水肿，小便不利，淋沥涩痛，带下；外治疮疡肿毒，湿疹。
降香,化瘀止血，理气止痛。用于吐血，衄血，外伤出血，肝郁胁痛，胸痹刺痛，跌扑伤痛，呕吐腹痛。
毛诃子,清热解毒，收敛养血，调和诸药。用于各种热证，泻痢，黄水病，肝胆病，病后虚弱。
大血藤,清热解毒，活血，祛风止痛。用于肠痈腹痛，热毒疮疡，经闭，痛经，跌扑肿痛，风湿痹痛。
金果榄,清热解毒，利咽，止痛。用于咽喉肿痛，痈疽疔毒，泄泻，痢疾，脘腹疼痛。
金钱草,利湿退黄，利尿通淋，解毒消肿。用于湿热黄疸，胆胀胁痛，石淋，热淋，小便涩痛，痈肿疔疮，蛇虫咬伤。
金荞麦,清热解毒，排脓祛瘀。用于肺痈吐脓，肺热喘咳，乳蛾肿痛。
金银花,清热解毒，疏散风热。用于痈肿疔疮，喉痹，丹毒，热毒血痢，风热感冒，温病发热。
金樱子,固精缩尿，固崩止带，涩肠止泻。用于遗精滑精，遗尿尿频，崩漏带下，久泻久痢。
荆芥,解表散风，透疹，消疮。用于感冒，头痛，麻疹，风疹，疮疡初起。
荆芥穗,解表散风，透疹，消疮。用于感冒，头痛，麻疹，风疹，疮疡初起。
九香虫,理气止痛，温中助阳。用于胃寒胀痛，肝胃气痛，肾虚阳痿，腰膝酸痛。
韭菜子,温补肝肾，壮阳固精。用于肝肾亏虚，腰膝酸痛，阳痿遗精，遗尿尿频，白浊带下。
救必应,清热解毒，利湿止痛。用于暑湿发热，咽喉肿痛，湿热泻痢，脘腹胀痛，风湿痹痛，湿疹，疮疖，跌打损伤。
桔梗,宣肺，利咽，祛痰，排脓。用于咳嗽痰多，胸闷不畅，咽痛音哑，肺痈吐脓。
橘核,理气，散结，止痛。用于疝气疼痛，睾丸肿痛，乳痈乳癖。
菊花,散风清热，平肝明目，清热解毒。用于风热感冒，头痛眩晕，目赤肿痛，眼目昏花，疮痈肿毒。
橘红,理气宽中，燥湿化痰。用于咳嗽痰多，食积伤酒，呕噁痞闷。
卷柏,活血通经。用于经闭痛经，癥瘕痞块，跌扑损伤。卷柏炭化瘀止血。用于吐血，崩漏，便血，脱肛。
化橘红,理气宽中，燥湿化痰。用于咳嗽痰多，食积伤酒，呕恶痞闷。
月季花,活血调经，疏肝解郁。用于气滞血瘀，月经不调，痛经，闭经，胸胁胀痛。
苦参,清热燥湿，杀虫，利尿。用于热痢，便血，黄疸尿闭，赤白带下，阴肿阴痒，湿疹，湿疮，皮肤瘙痒，疥癣麻风；外治滴虫性阴道炎。
紫花地丁,清热解毒，凉血消肿。用于疔疮肿毒，痈疽发背，丹毒，毒蛇咬伤。
沙棘,健脾消食，止咳祛痰，活血散瘀。用于脾虚食少，食积腹痛，咳嗽痰多，胸痹心痛，瘀血经闭，跌扑瘀肿。
苦木,清热解毒，祛湿。用于风热感冒，咽喉肿痛，湿热泻痢，湿疹，疮疖，蛇虫咬伤。
苦杏仁,降气止咳平喘，润肠通便。用于咳嗽气喘，胸满痰多，肠燥便秘。
款冬花,润肺下气，止咳化痰。用于新久咳嗽，喘咳痰多，劳嗽咳血。
昆布,消痰软坚散结，利水消肿。用于瘿瘤，瘰疬，睾丸肿痛，痰饮水肿。
莱菔子,消食除胀，降气化痰。用于饮食停滞，脘腹胀痛，大便秘结，积滞泻痢，痰壅喘咳。
老鹳草,祛风湿，通经络，止泻痢。用于风湿痹痛，麻木拘挛，筋骨酸痛，泄泻痢疾。
荔枝核,行气散结，祛寒止痛。用于寒疝腹痛，睾丸肿痛。
连翘,清热解毒，消肿散结，疏散风热。用于痈疽，瘰疬，乳痈，丹毒，风热感冒，温病初起，温热入营，高热烦渴，神昏发斑，热淋涩痛。
莲房,化瘀止血。用于崩漏，尿血，痔疮出血，产后瘀阻，恶露不尽。
莲须,固肾涩精。用于遗精滑精，带下，尿频。
莲子心,清心安神，交通心肾，涩精止血。用于热入心包，神昏谵语，心肾不交，失眠遗精，血热吐血。
两面针,活血化瘀，行气止痛，祛风通络，解毒消肿。用于跌扑损伤，胃痛，牙痛，风湿痹痛，毒蛇咬伤；外治烧烫伤。
细辛,解表散寒，祛风止痛，通窍，温肺化饮。用于风寒感冒，头痛，牙痛，鼻塞流涕，鼻鼽，鼻渊，风湿痹痛，痰饮喘咳。
灵芝,补气安神，止咳平喘。用于心神不宁，失眠心悸，肺虚咳喘，虚劳短气，不思饮食。
青风藤,祛风湿，通经络，利小便。用于风湿痹痛，关节肿胀，麻痹瘙痒。
凌霄花,活血通经，凉血祛风。用于月经不调，经闭癥瘕，产后乳肿，风疹发红，皮肤瘙痒，痤疮。
北刘寄奴,活血祛瘀，通经止痛，凉血，止血，清热利湿。用于跌打损伤，外伤出血，瘀血经闭，月经不调，产后瘀痛，癥瘕积聚，血痢，血淋，湿热黄疸，水肿腹胀，白带过多。
硫黄,外用解毒杀虫疗疮；内服补火助阳通便。外治用于疥癣，秃疮，阴疽恶疮；内服用于阳痿足冷，虚喘冷哮，虚寒便秘。
龙胆,清热燥湿，泻肝胆火。用于湿热黄疸，阴肿阴痒，带下，湿疹瘙痒，肝火目赤，耳鸣耳聋，胁痛口苦，强中，惊风抽搐。
胡芦巴,温肾助阳，祛寒止痛。用于肾阳不足，下元虚冷，小腹冷痛，寒疝腹痛，寒湿脚气。
芦根,清热泻火，生津止渴，除烦，止呕，利尿。用于热病烦渴，肺热咳嗽，肺痈吐脓，胃热呕哕，热淋涩痛。
芦荟,泻下通便，清肝泻火，杀虫疗疳。用于热结便秘，惊痫抽搐，小儿疳积；外治癣疮。
巴豆霜,峻下冷积，逐水退肿，豁痰利咽；外用蚀疮。用于寒积便秘，乳食停滞，腹水臌胀，二便不通，喉风，喉痹；外治痈肿脓成不溃，疥癣恶疮，疣痣。
炉甘石,解毒明目退翳，收湿止痒敛疮。用于目赤肿痛，睑弦赤烂，翳膜遮睛，胬肉攀睛，溃疡不敛，脓水淋漓，湿疮瘙痒。
鹿角,温肾阳，强筋骨，行血消肿。用于肾阳不足，阳痿遗精，腰脊冷痛，阴疽疮疡，乳痈初起，瘀血肿痛。
鹿角胶,温补肝肾，益精养血。用于肝肾不足所致的腰膝酸冷，阳痿遗精，虚劳羸瘦，崩漏下血，便血尿血，阴疽肿痛。
鹿角霜,温肾助阳，收敛止血。用于脾肾阳虚，白带过多，遗尿尿频，崩漏下血，疮疡不敛。
鹿衔草,祛风湿，强筋骨，止血，止咳。用于风湿痹痛，肾虚腰痛，腰膝无力，月经过多，久咳劳嗽。
蓝布正,益气健脾，补血养阴，润肺化痰。用于气血不足，虚痨咳嗽，脾虚带下。
路路通,祛风活络，利水，通经。用于关节痹痛，麻木拘挛，水肿胀满，乳少，经闭。
梅花,疏肝和中，化痰散结。用于肝胃气痛，郁闷心烦，梅核气，瘰疬疮毒。
炙甘草,补脾和胃，益气复脉。用于脾胃虚弱，倦怠乏力，心动悸，脉结代。
罗布麻叶,平肝安神，清热利水。用于肝阳眩晕，心悸失眠，浮肿尿少。
罗汉果,清热润肺，利咽开音，滑肠通便。用于肺热燥咳，咽痛失音，肠燥便秘。
络石藤,祛风通络，凉血消肿。用于风湿热痹，筋脉拘挛，腰膝酸痛，喉痹，痈肿，跌扑损伤。
麻黄,发汗散寒，宣肺平喘，利水消肿。用于风寒感冒，胸闷喘咳，风水浮肿。蜜麻黄润肺止咳。多用于表证已解，气喘咳嗽。
马鞭草,活血散瘀，解毒，利水，退黄，截疟。用于癥瘕积聚，痛经经闭，喉痹，痈肿，水肿，黄疸，疟疾。
马勃,清肺利咽，止血。用于风热郁肺咽痛，音哑，咳嗽；外治鼻衄，创伤出血。
鹿茸,壮肾阳，益精血，强筋骨，调冲任，托疮毒。用于肾阳不足，精血亏虚，阳痿滑精，宫冷不孕，羸瘦，神疲，畏寒，眩晕，耳鸣，耳聋，腰脊冷痛，筋骨痿软，崩漏带下，阴疽不敛。
马钱子,通络止痛，散结消肿。用于跌打损伤，骨折肿痛，风湿顽痹，麻木瘫痪，痈疽疮毒，咽喉肿痛。
麦冬,养阴生津，润肺清心。用于肺燥干咳，阴虚痨嗽，喉痹咽痛，津伤口渴，内热消渴，心烦失眠，肠燥便秘。
麦芽,行气消食，健脾开胃，回乳消胀。用于食积不消，脘腹胀痛，脾虚食少，乳汁郁积，乳房胀痛，妇女断乳，肝郁胁痛，肝胃气痛。生麦芽健脾和胃，疏肝行气。用于脾虚食少，乳汁郁积。炒麦芽行气消食回乳。用于食积不消，妇女断乳。焦麦芽消食化滞。用于食积不消，脘腹胀痛。
蔓荆子,疏散风热，清利头目，除湿处关节
芒硝,泻下通便，润燥软坚，清火消肿。用于实热积滞，腹满胀痛，大便燥结，肠痈肿痛；外治乳痈，痔疮肿痛。
猫爪草,化痰散结，解毒消肿。用于瘰疬痰核，疔疮肿毒，蛇虫咬伤。
石吊兰,化痰止咳，软坚散结。用于咳嗽痰多，瘰疬痰核。
知母,清热泻火，滋阴润燥。用于外感热病，高热烦渴，肺热燥咳，骨蒸潮热，内热消渴，肠燥便秘。
没药,散瘀定痛，消肿生肌。用于胸痹心痛，胃脘疼痛，痛经经闭，产后瘀阻，癥瘕腹痛，风湿痹痛，跌打损伤，痈肿疮疡。
玫瑰花,行气解郁，和血，止痛。用于肝胃气痛，食少呕恶，月经不调，跌扑伤痛。
青叶胆,清肝利胆，清热利湿。用于肝胆湿热，黄疸尿赤，胆胀胁痛，热淋涩痛。
密蒙花,清热泻火，养肝明目，退翳。用于目赤肿痛，多泪羞明，目生翳膜，肝虚目暗，视物昏花。
明党参,润肺化痰，养阴和胃，平肝，解毒。用于肺热咳嗽，呕吐反胃，食少口干，目赤眩晕，疔毒疮疡。
母丁香,温中降逆，补肾助阳。用于脾胃虚寒，呃逆呕吐，食少吐泻，心腹冷痛，肾虚阳痿。
牡丹皮,清热凉血，活血化瘀。用于热入营血，温毒发斑，吐血衄血，夜热早凉，无汗骨蒸，经闭痛经，跌扑伤痛，痈肿疮毒。
牡蛎,重镇安神，潜阳补阴，软坚散结。用于惊悸失眠，眩晕耳鸣，瘰疬痰核，癥瘕痞块。煅牡蛎收敛固涩，制酸止痛。用于自汗盗汗，遗精滑精，崩漏带下，胃痛吞酸。
木鳖子,散结消肿，攻毒疗疮。用于疮疡肿毒，乳痈，瘰疬，痔瘘，干癣，秃疮。
木蝴蝶,清肺利咽，疏肝和胃。用于肺热咳嗽，喉痹，音哑，肝胃气痛。
木通,利尿通淋，清心除烦，通经下乳。用于淋证，水肿，心烦尿赤，口舌生疮，经闭乳少，湿热痹痛。
煅石膏,收湿，生肌，敛疮，止血。外治溃疡不敛，湿疹瘙痒，水火烫伤，外伤出血。
南沙参,养阴清肺，益胃生津，化痰，益气。用于肺热燥咳，阴虚劳嗽，干咳痰黏，胃阴不足，食少呕吐，气阴不足，烦热口干。
闹羊花,祛风除湿，散瘀定痛。用于风湿痹痛，偏正头痛，跌扑肿痛，顽癣。
牛蒡子,疏散风热，宣肺透疹，解毒利咽。用于风热感冒，咳嗽痰多，麻疹，风疹，咽喉肿痛，痄腮，丹毒，痈肿疮毒。
牛黄,清心，豁痰，开窍，凉肝，息风，解毒。用于热病神昏，中风痰迷，惊痫抽搐，癫痫发狂，咽喉肿痛，口舌生疮，痈肿疔疮。
苦玄参,清热解毒，消肿止痛。用于风热感冒，咽喉肿痛，喉痹，痄腮，脘腹疼痛，痢疾，跌打损伤，疖肿，毒蛇咬伤。
女贞子,滋补肝肾，明目乌发。用于肝肾阴虚，眩晕耳鸣，腰膝酸软，须发早白，目暗不明，内热消渴，骨蒸潮热。
藕节,收敛止血，化瘀。用于吐血，咯血，忸血，尿血，崩漏。
胖大海,清热润肺，利咽开音，润肠通便。用于肺热声哑，干咳无痰，咽喉干痛，热结便闭，头痛目赤。
佩兰,芳香化湿，醒脾开胃，发表解暑。用于湿浊中阻，脘痞呕恶，口中甜腻，口臭，多涎，暑湿表证，湿温初起，发热倦怠，胸闷不舒。
岩白菜,收敛止泻，止血止咳，舒筋活络。用于腹泻，痢疾，食欲不振，内外伤出血，肺结核咳嗽，气管炎咳嗽，风湿疼痛，跌打损伤。
枇杷叶,清肺止咳，降逆止呕。用于肺热咳嗽，气逆喘急，胃热呕逆，烦热口渴。
平贝母,清热润肺，化痰止咳。用于肺热燥咳，干咳少痰，阴虚劳嗽，咳痰带血。
枫香脂,活血止痛，解毒生肌，凉血止血。用于跌扑损伤，痈疽肿痛，吐血，衄血，外伤出血。
矮地茶,化痰止咳，清利湿热，活血化瘀。用于新久咳嗽，喘满痰多，湿热黄疸，经闭瘀阻，风湿痹痛，跌打损伤。
蒲公英,清热解毒，消肿散结，利尿通淋。用于疔疮肿毒，乳痈，瘰疬，目赤，咽痛，肺痈，肠痈，湿热黄疸，热淋涩痛。
蒲黄,止血，化瘀，通淋。用于吐血，衄血，咯血，崩漏，外伤出血，经闭痛经，胸腹刺痛，跌扑肿痛，血淋涩痛。
蕲蛇,祛风，通络，止痉。用于风湿顽痹，麻木拘挛，中风口眼斜，半身不遂，抽搐痉挛，破伤风，麻风，疥癣。
委陵菜,清热解毒，凉血止痢。用于赤痢腹痛，久痢不止，痔疮出血，痈肿疮毒。
千金子,泻下逐水，破血消癥；外用疗癣蚀疣。用于二便不通，水肿，痰饮，积滞胀满，血瘀经闭；外治顽癣，赘疣。
千年健,祛风湿，壮筋骨。用于风寒湿痹，腰膝冷痛，拘挛麻木，筋骨痿软。
牵牛子,泻水通便，消痰涤饮，杀虫攻积。用于水肿胀满，二便不通，痰饮积聚，气逆喘咳，虫积腹痛。
前胡,降气化痰，散风清热。用于痰热喘满，略痰黄稠，风热咳嗽痰多。
芡实,益肾固精，补脾止泻，除湿止带。用于遗精滑精，遗尿尿频，脾虚久泻，白浊，带下。
茜草,凉血，祛瘀，止血，通经。用于吐血，衄血，崩漏，外伤出血，瘀阻经闭，关节痹痛，跌扑肿痛。
羌活,解表散寒，祛风除湿，止痛。用于风寒感冒，头痛项强，风湿痹痛，肩背酸痛。
秦艽,祛风湿，清湿热，止痹痛，退虚热。用于风湿痹痛，中风半身不遂，筋脉拘挛，骨节酸痛，湿热黄疸，骨蒸潮热，小儿疳积发热。
金龙胆草,清热化痰，止咳平喘，解毒利湿，凉血止血。用于肺热咳嗽，痰多气喘，咽痛，口疮，湿热黄疸，衄血，便血，崩漏，外伤出血。
青黛,清热解毒，凉血消斑，泻火定惊。用于温毒发斑，血热吐衄，胸痛咳血，口疮，痄腮，喉痹，小儿惊痫。
龙脷叶,润肺止咳，通便。用于肺燥咳嗽，咽痛失音，便秘。
青蒿,清虚热，除骨蒸，解暑热，截疟，退黄。用于温邪伤阴，夜热早凉，阴虚发热，骨蒸劳热，暑邪发热，疟疾寒热，湿热黄疸。
金沸草,降气，消痰，行水。用于外感风寒，痰饮蓄结，咳喘痰多，胸膈痞满。
青礞石,坠痰下气，平肝镇惊。用于顽痰胶结，咳逆喘急，癫痫发狂，烦躁胸闷，惊风抽搐。
青皮,疏肝破气，消积化滞。用于胸胁胀痛，疝气疼痛，乳癖，乳痈，食积气滞，脘腹胀痛。
北豆根,清热解毒，祛风止痛。用于咽喉肿痛，热毒泻痢，风湿痹痛。
青葙子,清肝泻火，明目退翳。用于肝热目赤，目生翳膜，视物昏花，肝火眩晕。
轻粉,外用杀虫，攻毒，敛疮；内服祛痰消积，逐水通便。外治用于疥疮，顽癣，臁疮，梅毒，疮疡，湿疹；内服用于痰涎积滞，水肿臌胀，二便不利。
瓜蒌,清热涤痰，宽胸散结，润燥滑肠。用于肺热晐嗽，痰浊黄稠，胸痹心痛，结胸痞满，乳痈，肺痈，肠痈，大便秘结。
金铁锁,祛风除湿，散瘀止痛，解毒消肿。用于风湿痹痛，胃脘冷痛，跌打损伤，外伤出血；外治疮疖，蛇虫咬伤。
人参叶,补气，益肺，祛暑，生津。用于气虚咳嗽，暑热烦躁，津伤口渴，头目不清，四肢倦乏。
忍冬藤,清热解毒，疏风通络。用于温病发热，热毒血痢，痈肿疮疡，风湿热痹，关节红肿热痛。
肉苁蓉,补肾阳，益精血，润肠通便。用于肾阳不足，精血亏虚，阳痿不孕，腰膝酸软，筋骨无力，肠燥便秘。
肉豆蔻,温中行气，涩肠止泻。用于脾胃虚寒，久泻不止，脘腹胀痛，食少呕吐。
独活,祛风除湿，通痹止痛。用于风寒湿痹，腰膝疼痛，少阴伏风头痛，风寒挟湿头痛。
三七,散瘀止血，消肿定痛。用于咯血，吐血，衄血，便血，崩漏，外伤出血，胸腹刺痛，跌扑肿痛。
桑白皮,泻肺平喘，利水消肿。用于肺热喘咳，水肿胀满尿少，面目肌肤浮肿。
桑寄生,祛风湿，补肝肾，强筋骨，安胎元。用于风湿痹痛，腰膝酸软，筋骨无力，崩漏经多，妊娠漏血，胎动不安，头晕目眩。
桑螵蛸,固精缩尿，补肾助阳。用于遗精滑精，遗尿尿频，小便白浊。
桑椹,滋阴补血，生津润燥。用于肝肾阴虚，眩晕耳鸣，心悸失眠，须发早白，津伤口渴，内热消渴，肠燥便秘。
桑叶,疏散风热，清肺润燥，清肝明目。用于风热感冒，肺热燥咳，头晕头痛，目赤昏花。
桑枝,祛风湿，利关节。用于风湿痹病，肩臂、关节酸痛麻木。
沙苑子,补肾助阳，固精缩尿，养肝明目。用于肾虚腰痛，遗精早泄，遗尿尿频，白浊带下，眩晕，目暗昏花。
砂仁,化湿开胃，温脾止泻，理气安胎。用于湿浊中阻，脘痞不饥，脾胃虚寒，呕吐泄泻，妊娠恶阻，胎动不安。
山慈菇,清热解毒，化痰散结。用于痈肿疔毒，瘰疬痰核，蛇虫咬伤，㿂瘕痞块。
金礞石,坠痰下气，平肝镇惊。用于顽痰胶结，咳逆喘急，癫痫发狂，烦躁胸闷，惊风抽搐。
山柰,行气温中，消食，止痛。用于胸膈胀满，脘腹冷痛，饮食不消。
京大戟,泻水逐饮，消肿散结。用于水肿胀满，胸腹积水，痰饮积聚，气逆咳喘，二便不利，痈肿疮毒，瘰疬痰核。
山楂,消食健胃，行气散瘀，化浊降脂。用于肉食积滞，胃脘胀满，泻痢腹痛，瘀血经闭，产后瘀阻，心腹刺痛，胸痹心痛，疝气疼痛，高脂血症。焦山楂消食导滞作用增强。用于肉食积滞，泻痢不爽。
四季青,清热解毒，消肿祛瘀。用于肺热咳嗽，咽喉肿痛，痢疾，胁痛，热淋；外治烧烫伤，皮肤溃疡。
山楂叶,活血化瘀，理气通脉，化浊降脂。用于气滞血瘀，胸痹心痛，胸闷憋气，心悸健忘，眩晕耳鸣，高脂血症。
栀子,泻火除烦，清热利湿，凉血解毒；外用消肿止痛。用于热病心烦，湿热黄疸，淋证涩痛，血热吐衄，目赤肿痛，火毒疮疡；外治扭挫伤痛。
山茱萸,补益肝肾，收涩固脱。用于眩晕耳鸣，腰膝酸痛，阳痿遗精，遗尿尿频，崩漏带下，大汗虚脱，内热消渴。
商陆,逐水消肿，通利二便；外用解毒散结。用于水肿胀满，二便不通；外治痈肿疮毒。
蛇床子,燥湿祛风，杀虫止痒，温肾壮阳。用于阴痒带下，湿疹瘙痒，湿痹腰痛，肾虚阳痿，宫冷不孕。
射干,清热解毒，消痰，利咽。用于热毒痰火郁结，咽喉肿痛，痰涎壅盛，咳嗽气喘。
伸筋草,祛风除湿，舒筋活络。用于关节酸痛，屈伸不利。
油松节,祛风除湿，通络止痛。用于风寒湿痹，历节风痛，转筋挛急，跌打伤痛。
升麻,发表透疹，清热解毒，升举阳气。用于风热头痛，齿痛，口疮，咽喉肿痛，麻疹不透，阳毒发斑，脱肛，子宫脱垂。
地黄,鲜地黄清热生津，凉血，止血。用于热病伤阴，舌绛烦渴，温毒发斑，吐血，衄血，咽喉肿痛。生地黄清热凉血，养阴生津。用于热入营血，温毒发斑，吐血衄血，热病伤阴，舌绛烦渴，津伤便秘，阴虚发热，骨蒸劳热，内热消渴。
贯叶金丝桃,疏肝解郁，清热利湿，消肿通乳。用于肝气郁结，情志不畅，心胸郁闷，关节肿痛，乳痈，乳少。
功劳木,清热燥湿，泻火解毒。用于湿热泻痢，黄疸尿赤，目赤肿痛，胃火牙痛，疮疖痈肿。
石菖蒲,开窍豁痰，醒神益智，化湿开胃。用于神昏癫痫，健忘失眠，耳鸣耳聋，脘痞不饥，噤口下痢。
石膏,清热泻火，除烦止渴。用于外感热病，高热烦渴，肺热喘咳，胃火亢盛，头痛，牙痛。
石斛,益胃生津，滋阴清热。用于热病津伤，口干烦渴，胃阴不足，食少干呕，病后虚热不退，阴虚火旺，骨蒸劳热，目暗不明，筋骨痿软。
石决明,平肝潜阳，清肝明目。用于头痛眩晕，目赤翳障，视物昏花，青盲雀目。
石榴皮,涩肠止泻，止血，驱虫。用于久泻，久痢，便血，脱肛，崩漏，带下，虫积腹痛。
石韦,利尿通淋，清肺止咳，凉血止血。用于热淋，血淋，石淋，小便不通，淋沥涩痛，肺热喘咳，吐血，衄血，尿血，崩漏。
使君子,杀虫消积。用于蛔虫病，蛲虫病，虫积腹痛，小儿疳积。
熟地黄,补血滋阴，益精填髓。用于血虚萎黄，心悸怔忡，月经不调，崩漏下血，肝肾阴虚，腰膝酸软，骨蒸潮热，盗汗遗精，内热消渴，眩晕，耳鸣，须发早白。
荆芥炭,收敛止血。用于便血，崩漏，产后血晕。
水蛭,破血通经，逐瘀消癥。用于血瘀经闭，癥瘕痞块，中风偏瘫，跌扑损伤。
丝瓜络,祛风，通络，活血，下乳。用于痹痛拘挛，胸胁胀痛，乳汁不通，乳痈肿痛。
蓼大青叶,清热解毒，凉血消斑。用于温病发热，发斑发瘆，肺热咳喘，喉痹，痄腮，丹毒，痈肿。
松花粉,收敛止血，燥湿敛疮。用于外伤出血，湿疹，黄水疮，皮肤糜烂，脓水淋漓。
苏合香,开窍，辟秽，止痛。用于中风痰厥，猝然昏倒，胸痹心痛，胸腹冷痛，惊痫。
苏木,活血祛瘀，消肿止痛。用于跌打损伤，骨折筋伤，瘀滞肿痛，经闭痛经，产后瘀阻，胸腹刺痛，痈疽肿痛。
紫苏子,降气化痰，止咳平喘，润肠通便。用于痰壅气逆，咳嗽气喘，肠燥便秘。
酸枣仁,养心补肝，宁心安神，敛汗，生津。用于虚烦不眠，惊悸多梦，体虚多汗，津伤口渴。
