名称,处方,步骤,功效,用法用量,来源,药材
跌打散,多年老石灰1斤（韭菜汁浸透，晾干），血竭4两，松香6两（熬溶，浸于凉水内1昼夜，去火毒），乳香2两（去油），没药2两（去油）。,上为极细末，瓷瓶收好。,止血止痛。主皮破血流，伤筋未伤骨者。,用时掺于伤口。,《温氏经验良方》,老石灰/血竭/松香/乳香/没药
跌打损伤酒,麝香3分，乳香1两，自然铜3两，红花1两，当归尾1两，砂仁1两，三七3两，香附3两，蓬莪术1两，木通1两，锁阳3两，威灵仙1两，五加皮2两，桂枝1两，吴茱萸1两，杜仲3两，番木鳖21个，草乌1两，法半夏1两，朱砂1两，生地3两，川乌1两，干漆1两，赤芍3两，细辛1两，枳壳1两，苏木1两，羌活1两，独活1两，公丁香5钱，大茴香1两，没药5钱，首乌1两，川乌1两，紫花地丁1两，橘皮2两，(庶虫)虫2两，青皮1两，松节2两，甘草1两，桃仁1两，海马3钱，三棱2两，骨碎补2两，虎骨1两，补骨脂2两，白芷2两，鹿角片1两，钧麻2两，刺甲皮2两，碎蛇2条，泽兰2两，红牛膝3两，茜草2两，干酒60斤。,上药各为细末，蒸1小时后，泡酒30天，玻瓶包装。,跌打损伤。,每服5钱，外搽亦可。每服5钱，外搽亦可。,《全国中药成药处方集》（重庆方）,麝香/乳香/自然铜/红花/当归尾/砂仁/三七/香附/蓬莪术/木通/锁阳/威灵仙/五加皮/桂枝/吴茱萸/杜仲/番木鳖/草乌/法半夏/朱砂/生地/川乌/干漆/赤芍/细辛/枳壳/苏木/羌活/独活/公丁香/大茴香/没药/首乌/川乌/紫花地丁/橘皮/虫/青皮/松节/甘草/桃仁/海马/三棱/骨碎补/虎骨/补骨脂/白芷/鹿角片/钧麻/刺甲皮/碎蛇/泽兰/红牛膝/茜草/干酒
跌打损伤药酒,当归 五加皮 生地各30克 补骨脂 骨碎补（去毛）功劳叶 薏苡仁 紫荆皮各15克 广木香9克 羌活9克 川芎 杜仲各24克 莪术 桃仁各9克 虎骨（酥炙）36克,,祛瘀血，壮筋骨。主跌打损伤。,上药用好酒10千克和，入坛封固，隔水煮三炷香，取起退火。七天后早、晚服。,《疡医大全》卷三十六,当归/五加皮/生地/补骨脂/骨碎补/功劳叶/薏苡仁/紫荆皮/广木香/羌活/川芎/杜仲/莪术/桃仁/虎骨
跌打损伤膏,生地1两，薄荷1两，独活1两，赤芍1两，川芎1两，川羌1两，连翘1两，香附6钱，荆芥6钱，当归6钱，防风6钱，桃仁6钱，米仁6钱，青皮6钱，加皮6钱，丹皮6钱，杜仲6钱，川柏6钱，玄胡6钱，白芍6钱，白芷6钱，牛膝6钱，红花6钱，白鲜皮6钱，木通6钱，苏木6钱，木瓜6钱，甘草6钱，厚朴6钱，苏梗6钱，枳实6钱，枳壳6钱，秦艽6钱，川断6钱，黄耆6钱，甘松6钱，三棱6钱，山奈6钱，玄参6钱，刘寄奴6钱，骨碎补（去毛）6钱，铅粉72两（炒黄色）。,上药先用上等好麻油10斤，浸两三日后入锅煎熬，去滓，再入铅粉用桑枝搅匀，扇至烟尽，候冷浸水中，愈陈愈妙。,跌打损伤，疯气。,临用摊膏时，每油1斤加放末药1两（末药方：肉桂1两，制乳香2两，制没药2两，血竭1两，龙骨1两，丁香1两，共为极细末，收藏瓷瓶内听用）。每遇疯气，贴以此膏。,《伤科方书》,生地/薄荷/独活/赤芍/川芎/川羌/连翘/香附/荆芥/当归/防风/桃仁/米仁/青皮/加皮/丹皮/杜仲/川柏/玄胡/白芍/白芷/牛膝/红花/白鲜皮/木通/苏木/木瓜/甘草/厚朴/苏梗/枳实/枳壳/秦艽/川断/黄耆/甘松/三棱/山奈/玄参/刘寄奴/骨碎补/铅粉
跌打吐血饮,生地、玄参、地榆（炒）、山栀、黄芩（酒炒）、茅根。,,跌打吐血。,,《外科集腋》卷八,生地/玄参/地榆/山栀/黄芩/茅根
跌打十三味煎,赤芍、香附（酒洗，炒）、玄胡、三棱、红花、桃仁、骨碎补、青皮、蓬术、乌药、木香、苏木、归尾。,,跌打损伤。,水煎服。,《外科集腋》卷八,赤芍/香附/玄胡/三棱/红花/桃仁/骨碎补/青皮/蓬术/乌药/木香/苏木/归尾
跌打养营汤,西洋参3g（或党参15g），黄耆9g，当归6g，川芎4.5g，熟地15g，白芍9g，枸杞15g，淮山药15g，续断9g，砂仁3g，三七4.5g，补骨脂9g，骨碎补9g，木瓜9g，甘草3g。,,补气血，养肝肾，壮筋骨。主骨折中、后期。,水煎服。,《中医伤科学》引《林如高正骨经验》,西洋参/黄耆/当归/川芎/熟地/白芍/枸杞/淮山药/续断/砂仁/三七/补骨脂/骨碎补/木瓜/甘草
跌打丸,三七64g 当归32g 白芍48g 赤芍64g 桃仁32g 红花48g 血竭48g 北刘寄奴32g 骨碎补（烫）32g 续断320g 苏木48g 牡丹皮32g 乳香（制）48g 没药（制）48g 姜黄24g 三棱（醋制）48g 防风32g 甜瓜子32g 枳实（炒）32g 桔梗32g 甘草48g 关木通32g 自然铜（煅）32g 土鳖虫32g,取香附至木香等8味为细末；取大黄至归尾等15味，用煮提法提取2次，浓稠汁约50两左右。取香附等细末，用大黄等膏汁（可酌加冷开水），按泛丸法制成丸（每10丸干重5分），晒干或低温干燥，挂衣，玻璃瓶装，密封。,活血散瘀，消肿止痛。用于跌打损伤，筋断骨折，瘀血肿痛，闪腰岔气。,口服，一次1丸，一日2次。口服，一次1丸，一日2次。,《中国药典》,三七/当归/白芍/赤芍/桃仁/红花/血竭/北刘寄奴/骨碎补/续断/苏木/牡丹皮/乳香/没药/姜黄/三棱/防风/甜瓜子/枳实/桔梗/甘草/关木通/自然铜/土鳖虫
跌打万金丸,乳香2两，苏木2两，没药2两，自然铜2两，地龙2两，无名异2两，当归2两，土鳖2两，血竭1两，生军1两，硼砂1两，碎补1两，马钱子1两。,上为细末，炼蜜为丸。,跌打损伤，筋断骨折，疼痛不止，肉皮不破者。,每服1钱，黄酒或淡醋汤送下，6小时1次。连服3料，断筋折骨，自然连接。须戒房事三年。肉皮破者不可服。,《温氏经验良方》,乳香/苏木/没药/自然铜/地龙/无名异/当归/土鳖/血竭/生军/硼砂/碎补/马钱子
跌打万应散,麝香1钱2分，血竭1钱2分，红花4钱，冰片1钱2分，乳香1钱2分（去油），没药1钱2分（去油），辰砂1钱2分（飞），耳茶1钱4分，归身1钱。,上为极细末，瓷瓶收好，不可泄气。,止痛，接骨。主跌打伤筋，骨折，枪弹击伤。,跌打伤筋折骨，血流不止，速用此散敷伤口，再用黄酒送下此散1分，立时止痛；骨折除伤口敷药外，再于伤口上下1尺以内有骨节处，用药少许揉擦，其断骨自响自接；被枪子击伤者，将此药敷于弹口。,《温氏经验良方》,麝香/血竭/红花/冰片/乳香/没药/辰砂/耳茶/归身
跌仆损伤急救散,当归尾（酒洗）7钱，自然铜（醋煅7次）7钱，桃仁（去皮尖）7钱，红花7钱，陈麻皮3钱，地鳖虫（烧酒浸，焙）5钱，骨碎补（酒洗，蒸）2钱，大黄（酒洗）2钱，乳香（去油）5分，没药（去油）5分，胎儿骨5分，血竭5分，朱砂5分，雄黄5分，麝香5分。,上为极细末，收贮勿泄气。,跌死、打死尚有微气及骨折瘀血攻心。,如遇跌死、打死，尚有微气者，用酒浆调2厘，入口即活；如骨折瘀血攻心，用药8厘，酒调灌之，其伤骨自上而愈。,《疡医大全》卷三十六引周鹤仙方,当归尾/自然铜/桃仁/红花/陈麻皮/地鳖虫/骨碎补/大黄/乳香/没药/胎儿骨/血竭/朱砂/雄黄/麝香
豆麦饮,大豆1升（微熬），小麦1升，吴茱萸半升，蒲黄1升。,,产后赤白下痢，久不断，身面悉肿。产后泄痢，多因脾虚感寒，杂下五色，或赤白脓血。日十数行，腹痛困顿，久不巳者。,以水9升，煮取3升，去滓，分3服。亦可以水5升，酒1斗，煮取4升，分4服。,方出《千金》卷三，名见《产孕集》卷下,大豆/小麦/吴茱萸/蒲黄
豆麦粥,绿豆1升，糯米1升，小麦1升。,上炒熟为末。,饮食不住口，仍易饥饿，近似中消。,每用末1升，滚水调服。,《寿世青编》卷下,绿豆/糯米/小麦
豆青软膏,巴豆油4ml，白降丹3g，青黛10g。,,银屑病。,上药加凡士林100g，调匀。外用。,《中医皮肤病学简编》,巴豆油/白降丹/青黛
豆青膏,白降丹1钱，巴豆油1钱半，青黛面适量，羊毛脂1两，凡士林4两。,搅匀成膏。,软坚，润肤，止痒。主慢性肥厚性皮肤病，牛皮癣静止期，神经性皮炎，皮肤淀粉样变（松皮癣）等。,外用薄敷。对汞过敏者及急性皮肤病不宜用。,《赵炳南临床经验集》,白降丹/巴豆油/青黛面/羊毛脂/凡士林
豆附散,大肉豆蔻3个（面裹煨），附子8钱（重者3个，炮，去皮）。,,脾弱，泄泻不止。,上（口父）咀，分作3服。水1盏半，加生姜5片，煎8分，去滓，空心温服。,《朱氏集验方》卷六,大肉豆蔻/附子
豆附丸,肉豆蔻（炮）白茯苓（焙）附子（炮，去脐）各120克 木香（不见火）干姜（炮）肉桂（去粗皮）各60克 丁香（不见火）30克,上药为细末，姜汁、面糊为丸，如梧桐子大。,温补脾肾，理气和中。主肠胃虚弱，内受风冷，泄泻注下，腹痛肠鸣。手足逆冷。,每服50～100丸，用生姜汤或粥饮吞下，空腹时服。,《太平惠民和剂局方》卷六,肉豆蔻/白茯苓/附子/木香/干姜/肉桂/丁香
豆酱散,豆酱2升。,上药漉去汁，熬令燥为末。,妊娠下血。,每服方寸匕，酒调下，日5-6次。,《外台》卷三十三引《古今录验》,豆酱
豆酒,大豆1升。,,风气水肿，及妇人新产受风，短气咳嗽。卒身面肿满风虚，水气肿。男子女人新久肿，得暴恶风入腹，妇人新产上圊，风入脏，腹中如马鞭者，嘘吸短气，咳嗽。,大豆汤（《医心方》卷十引《小品方》）、大豆煎（《千金》卷二十一）。肿愈后渴，慎不可多饮。,方出《肘后方》卷三，名见《外台》卷二十引《范汪方》,大豆
豆连散,赤小豆、黄连（去须）各等分。,上为散。,下注疮。,先用温盐浆水洗令净，次将药散用猪胆汁调涂之，每日3换。,《圣济总录》卷一三三,赤小豆/黄连
豆豉饮,豉3升。,,中缓风，四肢不收者。,上药用水9升，煮取3升。分为3服，日2作之；亦可酒渍煮饮之。,方出《肘后》卷三，名见《采艾编翼》卷二,豉
鹅黄散,石膏（煅）轻粉 黄柏（炒）各等分,上药研为极细末。,主杨梅疮，溃烂成片，脓秽多而疼甚者。,干掺。烂疮即可生疤，再烂再掺，毒尽为度。,《外科正宗》卷三,石膏/轻粉/黄柏
鹅膏,鹅膏1合。,,耳聋。,以少许滴耳中。,《圣济总录》卷一一四,鹅膏
鹅胆膏,杏仁7个（去皮尖），轻粉5分，胆矾5分。,上为极细末。,杨梅疮。发于面，不便见人；或发于肛门，不便大解。,鹅胆调，点疮上。,《疡科选粹》卷六,杏仁/轻粉/胆矾
鹅翎散,番木鳖（麻油煮）1两，干漆（煅令烟尽）3钱，白鹅毛1只（烧存性，至不见星为度），苦参2两，皂角刺2两。,上为散，分作50服。,疠风恶疾，赤肿腐烂。,清晨温酒或清茶送下。亦可用蜜作丸，分50服。,《张氏医通》卷十四,番木鳖/干漆/白鹅毛/苦参/皂角刺
鹅翎丹,粉炉甘石3两（用川黄连2两，龙胆草2两煎汁，甘石煅赤淬内，以酥为度，研极细如飞尘，仍入煎汁内，晒干），官硼砂2钱，新珠子1钱，片脑5分，琥珀5分，熊胆5分。,研至无声，即入前汁内，搓成如线细条，晾干，以鹅翎管贮。,各种目疾，眼漏。,用时以1条夹眼角内，自化泌入，1条可治数人。,《何氏济生论》卷六,粉炉甘石/官硼砂/新珠子/片脑/琥珀/熊胆
鹅管眼药,甘石3两，琥珀2钱，朱砂1钱5分，牛黄5分，梅片3钱，雄黄1钱5分，珍珠1钱，麝香5分，青鱼胆5个，熊胆1钱，蕤仁1钱。,上为末，用黄连、大黄、甘草煎膏成条，阴干，入鹅管内封固。,眼病。,,《青囊秘传》,甘石/琥珀/朱砂/牛黄/梅片/雄黄/珍珠/麝香/青鱼胆/熊胆/蕤仁
鹅管散,黄连1钱，大黄1钱，鹅管石5分，赤石脂5分，雄黄1分，片脑半分。,上为末。,病愈后犯房，玉茎皮破肿痛。,津液调敷。,《医学入门》卷八,黄连/大黄/鹅管石/赤石脂/雄黄/片脑
鹅石散,鹅管石1钱半，井水石3钱，朱砂半钱（一方无朱砂）。,上为末。,小儿咳嗽，涎盛不通，喉中鸣响。,每3岁服1字，杏仁汤调下。,《普济方》卷三八七引《全婴方》,鹅管石/井水石/朱砂
鹅琅丸,冬虫草6钱7分，金牛草6钱7分，当归3钱4分，川芎4钱，法半夏2钱，黄耆2钱，熟地2钱，丹皮2钱，山药2钱，明党参2钱，鹤虱2钱，洋参5钱4分，萸肉2钱，覆花1钱4分，米壳2钱。,先将米壳熬成膏，再将其它药研成末，以米壳膏为丸，如黄豆大，红色为衣，贮瓷瓶中保存。,活血助气。主麻醉各毒，遍身倦怠，四肢酸痛，咳嗽痰喘，大小便结，赤白痢疾，酒积酒寒。,如毒重每服7丸，轻者4丸，均用白水送下。,《全国中药成药处方集》（吉林方）,冬虫草/金牛草/当归/川芎/法半夏/黄耆/熟地/丹皮/山药/明党参/鹤虱/洋参/萸肉/覆花/米壳
鹅毛管眼药,麝香2钱5分，熊胆5分，飞琥珀5分，冰片2钱，飞制甘石2两，飞生月石2钱，荸荠粉1两5钱，蕤仁霜5分（以上8味为甲组药），生地8两，玄参4两，川石斛3两，麦冬3两，杞子3两，黄连3两，黄芩3两，黄柏4两，龙胆草4两，青葙子2两，决明子4两，白蒺藜2两，白菊花2两，桑叶4两，谷精珠2两，木贼草2两，焦山栀3两，石决明8两，淡竹叶2两，夜明沙4两，木鳖子1两（以上21味为乙组药）。,将甲组药研成至极细为度；将乙组药煎浓汁，去渣，加白蜜2斤，炼熟收膏；甲组药末，每两加入乙组药膏3钱3分3厘，用厚玻璃两块，推磨成条，每条约潮重9厘。,消肿止痛，明目退翳。主风火赤眼，眶烂肿痛，翳膜遮睛，羞明眵多。,每日轻者点2-3次、重者4-5次，点于大眼角内。,《中药成方配本》,麝香/熊胆/飞琥珀/冰片/飞制甘石/飞生月石/荸荠粉/蕤仁霜/生地/玄参/川石斛/麦冬/杞子/黄连/黄芩/黄柏/龙胆草/青葙子/决明子/白蒺藜/白菊花/桑叶/谷精珠/木贼草/焦山栀/石决明/淡竹叶/夜明沙/木鳖子
鹅梨煎丸,鹅梨10个（大者，去皮核），薄荷1斤，皂荚10挺（肥大不蛀者。以上3味，于酸浆水中，揉取自然汁，滤去滓，杏仁4两，去皮尖，烂研，将杏仁膏并前自然汁，同于银石器内，慢火熬成膏后，另入药末），防风（去芦）2两，白蒺藜（微炒，去刺）2两，天麻（炙令通黄色）2两，威灵仙1两（去泥），甘草（炙）1两。,上5味为细末，入前膏内，搜和为丸，如梧桐子大。,大化痰涎，解壅热。主脾肺风攻皮肤成疮癣，瘙痒。,每服15-20丸，食后用温浆水送下，临卧时再服。,《博济》卷二,鹅梨/薄荷/皂荚/防风/白蒺藜/天麻/威灵仙/甘草
鹅梨汤,鹅管石5分（煅，研），陈麻黄5分（蜜炙），当归1钱5分，茯苓2钱，蒌仁4钱，苏子1钱5分，桑叶1钱，橘红1钱，半夏1钱，贝母2钱，杏仁3钱。,,缓通肺窍，以除积痰。主风痰入肺，久经吼咳者。痰随火升，上壅胸膈之哮病。,梨汁2大匙，姜汁2小匙，同冲服。,《医醇剩义》卷三,鹅管石/陈麻黄/当归/茯苓/蒌仁/苏子/桑叶/橘红/半夏/贝母/杏仁
鹅梨汁煎丸,羚羊角1两，木香半两，青橘（汤浸，去瓤）半两，半夏（汤净洗，切片，用生姜制）半两，羌活半两，独活半两，川芎半两，藿香半两，全蝎（微用酥酒拌、炒过）半两，白花蛇（微用酥酒拌，炙，去皮骨）半两，白附子（微炒）半两，天麻（酒水各半浸，焙干）半两，槟榔1两，朱砂1两（别研），麝香半两，牛黄、龙脑。,上为末，用皂角汁、薄荷汁、捣梨汁各1碗，煎成膏，和上药末一处为丸，如绿豆大。,风痹。头、面、肢袭着，筋脉挛起，手足不随，痰涎胶粘，语涩昏浊，口眼偏?。,方中牛黄、龙脑剂量原缺。,《传家秘宝》卷中,羚羊角/木香/青橘/半夏/羌活/独活/川芎/藿香/全蝎/白花蛇/白附子/天麻/槟榔/朱砂/麝香/牛黄/龙脑
鹅掌风药水,土荆皮250g，蛇床子125g，大风子仁125g，百部125g，防风50g，当归100g，凤仙透骨草125g，侧柏叶100g，吴茱萸50g，花椒125g，蝉蜕75g，斑蝥3g。,将斑蝥粉碎成细粉，其余土荆皮等11味粉碎成粗粉，与斑蝥粉末混匀，照流浸膏剂与浸膏剂项下的渗漉法，用乙醇三倍与冰醋酸一倍的混合液作溶剂，浸渍48小时后，缓缓渗漉，收集渗漉液670毫升，静置，取上清液，加入香精适量搅匀，即得。,祛风除湿，杀虫止痒。主鹅掌风，灰指甲，湿癣，脚癣。,用时将患处洗净，1日搽3-4次。灰指甲应先除去空松部分，使药易渗入。外用药切忌入口，严防触及眼、鼻、口腔等粘膜处。,《中国药典》,土荆皮/蛇床子/大风子仁/百部/防风/当归/凤仙透骨草/侧柏叶/吴茱萸/花椒/蝉蜕/斑蝥
鹅掌风膏,凤仙花（连根花叶，晒干）4两，苍耳草（用嫩头）4两，血余3两，鹿角屑（生刮）2两，络石2两，虎骨2两，百部2两，茜草2两，翦草2两，人指甲5钱，穿山甲1两，羌活1两，龙骨1两，麻黄1两，蕲艾1两，威灵仙1两。,麻油1斤，同熬至滴水不散，绞去渣，离火，再下铅粉、银朱各4两，黄蜡、乳香各2两，和匀，瓷器收贮。,鹅掌风，风癞，顽癣，死肌，麻痹。,隔汤炖化，摊贴患处。,《中国医学大辞典》引《济生》,凤仙花/苍耳草/血余/鹿角屑/络石/虎骨/百部/茜草/翦草/人指甲/穿山甲/羌活/龙骨/麻黄/蕲艾/威灵仙
鹅掌风浸泡方,大枫子肉9克 花椒9克 皂荚15克 土槿皮1.5克 地骨皮6克 藿香18克 白矾12克 鲜凤仙花9克 米醋1千克,,杀虫止痒。主鹅掌风，手足癣。,将药浸入米醋内二十四小时，煎沸待温，将药汁放人塑料袋内，将患手（足）伸人袋中扎住，浸六至十二小时，隔日将药汁煎沸待温再浸，共浸三至四天。浸泡后七天内不宜用碱水、肥皂水洗手（足），如有皲裂者，暂缓使用。以伏天浸泡为佳。,《中医外科学》,大枫子肉/花椒/皂荚/土槿皮/地骨皮/藿香/白矾/鲜凤仙花/米醋
鹅掌风浸剂,斑蝥1g，蜈蚣4条，砒霜3g，樟脑9g，白及9g，土槿皮9g，大黄9g，马钱子9g。,上为细末，用米醋1000g，浸泡42小时后，即可应用。,手癣。,将患手（足）浸入药液，初次每日浸5-10分钟，2-3天后逐渐延长，每日浸1-2小时，连用2-15天。,《中医皮肤病学简编》,斑蝥/蜈蚣/砒霜/樟脑/白及/土槿皮/大黄/马钱子
鹅掌油,鹅掌皮（烧灰存性）。,上为末，敷之。,脚指缝烂疡。脱疽。,鹅掌皮散（《疡科捷径》卷中）。《疡科捷径》本方用法：以麻油调敷。鹅掌皮散（《疡科捷径》卷中）。《疡科捷径》本方用法：以麻油调敷。,方出《准绳·疡医》卷四，名见《洞天奥旨》卷十六,鹅掌皮
鹅实散,鹅眼枳实（焙）、小茴香（炒）各等分。,上为末。,胁痛，疝气痛。,每服2钱，用小黑豆同艾叶炒热，冲黄酒于内，去滓，调前末药，食前服之。,《外科大成》卷四,鹅眼/枳实/小茴香
鹅墩饮,青蒿2钱，木通1钱半，车前子1钱，泽泻1钱，防己1钱，赤苓1钱，滑石3钱，甘草5分。,,鹅墩蛋。因暑湿积郁而成，其患在肾囊之下，形如鹅卵，疼痛异常。,加官私草汁1匙，同水煎服。,《疡科遗编》卷下,青蒿/木通/车前子/泽泻/防己/赤苓/滑石/甘草
鹅不食草,鹅不食草适量。,研成粉末。,据数十例观察，大多于用药后1～2天痊愈。除胃痛患者服酒煮剂后间有疼痛外，一般无副作用。,成人每次用6～9克（小儿减半），以黄酒300～400毫升（不饮酒者用酒水各半），红糖50～100克，同煮（沸后密盖，勿令泄气），过滤后分次温服。药伤，包括跌伤、打伤、挫伤、扭伤等，均有效。,《单验方》,鹅不食草
饿虎散,人参1钱，豆蔻1个，僵蚕7个，良姜2钱，甘草（炙）2钱。,上为末。,伤寒后不思饮食。,每服1钱，木瓜汤送下；或粟米汤送下。,《普济方》卷三六九,人参/豆蔻/僵蚕/良姜/甘草
阿胶黄连饮,阿胶、黄连、芍药、甘草、枳壳（麸炒）。,,孕妇痢疾，若安胎则痢愈重，治痢则胎难全，宜服此饮。,水煎服。1剂痛痢俱减，去枳壳再服。阿胶能止脓血之痢，且止腰痛固胎，以之为君；黄连、芍药、甘草皆以为佐；枳壳少加2-3分，以宽其后重。,《胎产心法》卷上,阿胶/黄连/芍药/甘草/枳壳
阿胶黄连汤,陈阿胶4.5克（烊冲）生白芍6克 小川连1.8克（蜜炙）鲜生地18克 青子芩3克 鸡子黄1枚（先煎代水）,,伤寒邪传少阴，水为火烁，心烦不寐，肌肤枯燥，神气衰弱，咽干溺短，舌红尖绛，脉左细数，按之搏指，右脉反大而虚软者。,水煎服。,《重订通俗伤寒论》,陈阿胶/小川连/青子芩/鸡子黄
阿胶黄芩汤,陈阿胶 青子芩各9克 甜杏仁 生桑皮各6克 生白芍3克 生甘草2.4克 鲜车前草 甘蔗梢各15克,,秋燥。肺燥肠热，上则喉痒干咳，咳甚则痰粘带血，血色鲜红，胸胁串痰；下则腹热如焚，大便水泄如注，肛门热痛，甚或腹痛泄泻，泻必艰涩难行，似痢非痢，肠中切痛，有似鞭梗，按之痛甚，舌苔干燥起刺，兼有裂纹。,先用生糯米30克，开水泡取汁出，代水煎药。,《重订通俗伤寒论》,陈阿胶/青子芩/甜杏仁/生桑皮/生白芍/生甘草/鲜车前草/甘蔗梢
阿胶麻仁汤,生地3钱，当归3钱，阿胶3钱（研），麻仁3钱（研）。,,阳盛土燥，大便坚硬者。,煎1杯，去滓，入阿胶，火化，温服。,《四圣心源》卷六,生地/当归/阿胶/麻仁
阿胶鸡蛋汤,阿胶10克 鸡蛋1个 食盐适量,阿胶用水1碗烊化，鸡蛋调匀后加入阿胶水中煮成蛋花即成。,补血，滋阴，安胎。适用于阴血不足所致的胎动不安、烦躁等。,每日1～2次，食盐调味服。,《民间方》,阿胶/鸡蛋/食盐
阿胶鸡子黄汤,陈阿胶6克（烊冲）生白芍9克 石决明15克（杵）双钩藤6克 大生地12克 清炙草1.8克 生牡蛎12克（杵）络石藤9克 茯神木12克 鸡子黄2枚（先煎代水）,,滋阴熄风。伤寒邪传少阴，水亏火亢，液涸动风，筋脉拘挛，手足瘈疭者。,水煎服。真阿胶1钱半，左牡蛎5钱，大生地4钱，生白芍3钱，女贞子3钱，黄甘菊2钱，鸡子黄1枚，童便1钟。,《重订通俗伤寒论》,陈阿胶/石决明/大生地/清炙草/生牡蛎/茯神木/鸡子黄
阿胶鳖甲汤,生鳖甲5钱，阿胶1钱，白芍1钱，炙草1钱，小草8分，淡菜2枚，西洋参1钱。,,血虚不足养肝，致动肝风者。,,《温热经解》,生鳖甲/阿胶/白芍/炙草/小草/淡菜/西洋参
阿胶驻车丸,阿胶3两，黄连3两，当归1两，干姜1两，木香1两，黄芩1两，龙骨（醋煅，水飞）1两，赤石脂1两，厚朴（姜炒）5钱。,米饮为丸，如梧桐子大。,冷热不调，伤犯三阴，腹痛下脓血。,每服30丸，昼夜各1钱，米饮送下。,《痢疟纂要》卷九,阿胶/黄连/当归/干姜/木香/黄芩/龙骨/赤石脂/厚朴
阿胶饮子,牛胶（锉，蛤粉炒如珠）1两，粉草1两，橘红5钱。,上和匀。,一切痈疽疖毒。,上作3剂。水煎服。阿胶半两（捣碎，炒令黄燥），竹沥5合，荆沥2合。,《外科精要》卷上,牛胶/粉草/橘红
阿胶饮,阿胶（炙燥）1两，人参2两。,上为散。,久咳嗽。,每服3钱匕，豉汤1盏，加葱白少许，同煎3沸，放温，遇嗽时呷3-5呷，依前温暖，备嗽时再呷之。,《圣济总录》卷六十五,阿胶/人参
阿胶酒,阿胶3两（炙）。,上为末。,孕妇血痢。,阿胶汤（《赤水玄珠》卷八）。阿胶汤（《赤水玄珠》卷八）。,方出《证类本草》卷十六引《梅师方》，名见《普济方》卷三四四引《圣惠》,阿胶
阿胶芍药汤,赤芍药1两，阿胶（捣碎，炒令黄燥）1两，当归1两，甘草半两（炙微赤，锉）。,上为散。,大便下血不止。,四神散（《普济方》卷三十八）。四神散（《普济方》卷三十八）。,方出《圣惠》卷三十七，名见《圣济总录》卷九十七,赤芍药/阿胶/当归/甘草
阿胶膏,阿胶3两（捣碎，炒令黄燥，捣末），白羊肾3对（去筋膜，切，细研），杏仁3两（汤浸，去皮尖双仁，麸炒微黄，研如膏），薯蓣2两（捣为末），薤白1握，（细切），黄牛酥4两，羊肾脂4两（煮去滓）。,上药相和，于瓷瓶内贮之，蒸半日，令药成膏。,肺气喘急，下焦虚伤。,每服1茶匙，以暖酒调下，不拘时候。,《圣惠》卷六,砒霜/砒黄脚/巴豆/木鳖子
阿胶粥,阿胶半两（炙黄为末），龙骨末1分，艾叶末1分。,,妊娠下血。,上用糯米2合，入药以水煮作粥，空腹食之。阿胶1两（捣碎，炒令黄燥，捣为末），糯米半斤。,《普济方》卷二五九,阿胶/龙骨末/艾叶末
阿胶神曲煎,神曲6分，干姜6分，当归3分，白术3分，人参2分，阿胶2分，甘草1分。,上为细末，面糊为丸，如小豆大，以白面为衣。,冷痢。,每服50丸，水1盏，煎令沸，入药煮熟，以匙抄含之，1日2-3次。,《鸡峰》卷十四,神曲/干姜/当归/白术/人参/阿胶/甘草
阿胶白术散,白术1两半，白茯苓1两，白芍药1两，当归1两，熟地黄1两，人参1两，白芷1两，阿胶1两，芎1两，甘草3分。,上为细末。,滋养胎气，调顺荣卫。主,每服3钱，水1盏，煎至7分，去滓温服，不拘时候。,《鸡峰》卷十五,白术/白茯苓/白芍药/当归/熟地黄/人参/白芷/阿胶/芎/甘草
阿胶甘草犁膏汤,阿胶3钱，甘草3钱（炙），梨膏5钱（冲）。,,温疫肺虚咳嗽。,,《温热经解》,阿胶/甘草/梨膏
阿胶煮散,阿胶1两，大芎1两，人参1两，白术1两，五味子1两，麦门冬1两，当归1两，茯苓1两，黄耆1两，续断1两，干地黄1两，甘草半两。,上为细散。,妇人宫脏百病。,每剂8铢。妇人肝气攻冲，喘促咳嗽，入水煎，空心热服；若是血脏冷痛，赤白带下，加生姜2片，大枣1枚，水煎服；若补血，入枸杞子、覆盆子煎；若呕逆不思饮食，加草豆蔻煎，或丁香20枚，水煎服；若孕妇不安，加桑寄生枝1两，细锉拌匀，水煎服；若产后血多及半产下血，宫脏全虚，加白薇半两（微炙），苁蓉1两（细锉）内拌，水煎服；若是久患宫脏、骨节、腰腿、两胁逆痛，四肢少力，常患风寒，有如劳状候，加木香半两、鳖甲1两（醋炙），柴胡1两，并锉拌之。每服3钱，加生姜3片，水2盏，如茶法煎至7分，空心热服。,《普济方》卷三二八引《生育宝鉴》,阿胶/大芎/人参/白术/五味子/麦门冬/当归/茯苓/黄耆/续断/干地黄/甘草
